ID,Topic,Polarity,Tweet
805641620116934656,vaccines,negative,"Why is there still a vaccine/autism controversy? Because families are blocked from getting into a REAL court to prove vaccines cause autism"
805643873082978305,vaccines,positive,@Charbrevolution @RealBiZI1 @TheGlobalUG @VaccineXchange @VaxCalc I teach many kids healthy because of vaccines..."
805645449105436673,vaccines,negative,"Don't wait for the herd to act against vaccines because the herd takes their orders from government, newspapers,... https://t.co/y0K8pAI4Z9"
805645786377699328,vaccines,negative,"Boss: We've got your last check.Me: ...Boss: Well you keep screaming "ow-AH-AH-AH-AH" in the Disturbed voice everytime you give vaccines"
805646362276745216,vaccines,negative,"I Mean HELLO?! Administering Broke vaccines daily (Side effects may include insomnia, euphoria… https://t.co/NIfkMWH2Ks"
805649157843255296,vaccines,negative,"Why do parents refuse to vaccinate their children? #AndrewWakefield https://t.co/sOBK7UUarD https://t.co/C1WiaImdQZ"
805650038038740992,vaccines,negative,"Trump is a real threat to public health, especially the lives of children. https://t.co/I3Rh9AnZyV"
805652403089510400,vaccines,negative,"Medically caused death in America - Every case of SIDS - the made up phenomena to cover up Death by Vaccines. https://t.co/xfzyZynKMP"
805656063014006784,vaccines,negative,"didi pickles definitely believes that vaccines cause autism"
805656517244551168,vaccines,negative,"Lead Developer of HPV Vaccines Comes Clean, Warns Parents, Young Girls- It’s All A Giant Deadly Scam https://t.co/mVKAfhPEaq"
805658474982047744,vaccines,negative,"1 News • 'Hospitals run out of vaccines for killer diseases' via @233liveOnline. Full story at https://t.co/xq7snbGgLe"
805662948257513472,vaccines,negative,"joke: vaccines cause autismwoke: homo autistus is mans next evolutionary step"
805664146364727296,vaccines,negative,"@yadavtejashwi @NitishKumar @HealthCareGov @GovtofBihar @MoHFW_INDIA @htTweets Jamui hospital says some vaccines are not avlbl since 1 yr"
805664508979146752,vaccines,negative,"You seriously expect to keep the vaccines cool with a ballpoint pen, a dozen tins of tuna in brine and no interruptions?"
805666682211442688,vaccines,negative,"vaccines kill!!fuck all of you dupes and whores ofinept corrupt psychopathic vaccine industry https://t.co/gNUQBYDOcK"
805668203477266432,vaccines,negative,"#BillGates revealed as sociopathic liar about GMOs and vaccines https://t.co/6zX3VFDaFz #nwo #depopulation #gmo https://t.co/VOcVA0GnkF"
805668304878764032,vaccines,negative,"How do people believe vaccines cause Autism, the world is flat , chem trails and all that nonsense I'm genuinely curious ."
805668877774495744,vaccines,negative,"Vaccines contains mercury.. I will not fuck up my potential childrens life with an excessive amount of chemicals"
805669326716018688,vaccines,negative,"Toddler boy erroneously given an excessive dose of Gardasil - may be at risk of neurological damage https://t.co/HccWbjmuEb"
805670944937127937,vaccines,negative,"HHS nominee Tom Price belongs to Drs. group which believes vaccines cause autism & Obama care is socialized medicine."
805671852588797952,vaccines,negative,"Between 1954 and 1963, close to 98 million Americans received polio vaccines contaminated w/ a carcinogenic monkey virus, known as SV40."
805671897425969152,vaccines,negative,"Although some vaccines protect our children, they still have potential to b very toxic."
805673065245974528,vaccines,negative,"Why are oral vaccines less common than injected vaccines even if it can induce both systemic and mucosal immunities? https://t.co/Wazxr0wF1h"
805673484785516544,vaccines,positive,@Nuchole also look up the polio epidemic . Makes you realize how essential vaccines are."
805679272085987328,vaccines,negative,"@dcexaminer Hop @realDonaldTrump will also nullify mandatory slew of vaccines required in CA, enough to kill a horse! Autism is rampant."
805679622658674688,vaccines,negative,"@drg1985 My "favourite" conspiracy: contraceptive pill causes genetic damage to kids so vaccines can cause autism. But homeopathy can cure!"
805681507885076480,vaccines,negative,"@katherinehunt15 @scienceporn  It's sarcastic. You can't force people to take vaccines, you only can offer it and talk about benefits."
805682970388557824,vaccines,negative,"Robots, radioactive waste - what happens next at Chernobyl https://t.co/SL8BI1taZN"
805684387488505856,vaccines,positive,@Charbrevolution @TheGlobalUG @RealBiZI1 @VaccineXchange @VaxCalc ummm vaccines have avoided over 700000 deaths since the nineties..."
805686123410255873,vaccines,positive,Chinese scientists convert infectious viruses into live vaccines to tackle deadly viruses https://t.co/XqQyTPiwFp https://t.co/44EkeoSTOt"
805687141577670656,vaccines,negative,"Today's DN full of terrible news stories about the health sector. Abt fake drugs, vaccines that paralyzed kids and the health strike."
805687734069325824,vaccines,negative,"@SenGillibrand @chuckschumer Experimental Vaccines Unleashed on Public? Lame Duck Congress Fast Tracking Bill https://t.co/4xizzPhAjl"
805688716664520705,vaccines,negative,"Greece: Adult vaccination in an age of austerity https://t.co/NO0OepRNws https://t.co/QAriOjAJlC"
